Particulars,"March 31, 2022","March 31, 2021"
Assumption change,(0.15),0.03
Fair value of plan assets as at March 31,0.88,0.33
Amount recognised in Balance Sheet,,
Fair value of plan assets as at March 31,0.88,0.33
Present value of obligation as at March 31,(88.02),(89.99)
Asset / (liability) as at March 31,(87.14),(89.66)
Expenses recognised in Profit and Loss Account,,
Interest cost,5.19,3.79
Current service cost,1.40,1.37
Past service cost,7.69,-
Expected return on plan assets,(0.04),(0.32)
Net actuarial (gain) / loss recognised in the year,3.95,32.48
Net cost,18.19,37.32
Actual return on plan assets,0.27,0.15
Estimated contribution for the next year,18.86,13.09
Assumptions,,
Discount rate,6.80% per annum,6.50% per annum
Expected return on plan assets,6.50% per annum,6.50% per annum
Salary escalation rate,7.00% per annum,7.00% per annum
