Particulars,"March 31, 2022","March 31, 2021"
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,,
Present value of obligation as at April 1,89.99,64.15
Interest cost,5.19,3.79
Current service cost,1.40,1.37
Past service cost,7.69,-
Benefits paid,(20.43),(11.63)
Actuarial (gain) / loss on obligation:,,
Experience adjustment,6.44,31.41
Assumption change,(2.26),0.90
Present value of obligation as at March 31,88.02,89.99
Reconciliation of opening and closing balance of the fair value of the plan assets,,
Fair value of plan assets as at April 1,0.33,9.51
Expected return on plan assets,0.04,0.32
Contributions,20.70,2.30
Benefits paid,(20.43),(11.63)
Actuarial gain / (loss) on plan assets:,,
Experience adjustment,0.39,(0.20)
