Particulars,"March 31, 2022","March 31, 2021"
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,,
Present value of obligation as at April 1,"1,017.22",851.66
Interest cost,62.82,52.16
Current service cost,129.44,114.56
Benefits paid,(76.95),(49.15)
Actuarial (gain) / loss on obligation:,,
Experience adjustment,(49.72),41.30
Assumption change,7.78,6.69
Present value of obligation as at March 31,"1,090.59","1,017.22"
Reconciliation of opening and closing balance of the fair value of the plan assets,,
Fair value of plan assets as at April 1,834.44,577.97
Expected return on plan assets,57.01,44.05
Contributions,163.30,138.48
Benefits paid,(76.95),(49.15)
Actuarial gain / (loss) on plan assets:,,
Experience adjustment,22.14,107.65
Assumption change,1.97,15.44
Fair value of plan assets as at March 31,"1,001.91",834.44
Amount recognised in Balance Sheet,,
Fair value of plan assets as at March 31,"1,001.91",834.44
Present value of obligation as at March 31,"(1,090.59)","(1,017.22)"
Asset / (liability) as at March 31,(88.68),(182.78)
Expenses recognised in Profit and Loss Account,,
Interest cost,62.82,52.16
Current service cost,129.44,114.56
Expected return on plan assets,(57.01),(44.05)
Net actuarial (gain) / loss recognised in the year,(66.05),(75.10)
