Parameter,FY 2021-22 (Current Financial Year),FY 2020-21 (Previous Financial Year)
From renewable sources,,
Total electricity consumption (A),N.A.,N.A.
Total fuel consumption (B),N.A.,N.A.
Energy consumption through other sources (C),N.A.,N.A.
Total energy consumed from renewable sources (A+B+C),N.A.,N.A.
From non-renewable sources,,
Total electricity consumption (D),Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22,Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22
Total fuel consumption (E),Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22,Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22
Energy consumption through other sources (F),N.A.,N.A.
Total energy consumed from non-renewable sources (D+E+F),Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22,Please refer GHG Emissions and Climate Change details in the Environment section of the Integrated Report for FY22
