Parameter,FY 2021-22 (Current Financial Year),FY 2020-21 (Previous Financial Year)
Category of waste,,
(i) Recycled,Please refer Waste Management details in the Environment section of the Integrated Report for FY 22.,Please refer the Environment section of the Integrated Report for FY 21 for e-waste recycled.
(ii) Re-used,Not available,Not available
(iii) Other recovery operations,Not available,Not available
Total,,
"For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes)",,
Category of waste,,
(i) Incineration,Not available,Not available
(ii) Landfilling,Not available,Not available
(iii) Other disposal operations,Please refer the Environment section of the Integrated Report for FY 22 for e-waste recycled,Please refer the Environment section of the Integrated Report for FY 21 for e-waste recycled
Total,Not available,Not available
