Cate gory,% of workers covered by,,,,,,,,,,
,Total (A),Health insurance,,Accident insurance,,Maternity benefits,,Paternity Benefits,,Day Care facilities,
,,Number (B),% (B / A),Number (C),% (C / A),Number (D),% (D / A),Number (E),% (E / A),Number (F),% (F / A)
,,,,Permanent employees,,,,,,,
Male,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Female,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Total,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"N.A.
:selected:",N.A.,N.A.
,,,,Other than Permanent Workers,,,,,,,
Male,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Female,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Total,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"N.A.
:selected:",N.A.,N.A.,N.A.
