Items / Related party,Promoter,Subsidiaries,Key Management personnel (KMP),Relatives of KMP & their interested entities,Total
Deposits taken,"2,741.49","1,195.53",4.54,1.43,"3,942.99"
,"(5,132.37)","(1,668.62)",(23.02),(1.43),"(6,825.44)"
Deposits placed,0.32,10.62,-,-,10.94
,(0.32),(10.62),-,-,(10.94)
Advances given,-,"6,067.14",0.55,#,"6,067.69"
,-,"(6,067.14)",(0.73),(0.01),"(6,067.88)"
Fixed assets purchased from,-,-,-,-,-
Fixed assets sold to,-,-,-,-,-
Interest paid to,20.43,5.61,0.98,0.04,27.06
Interest received from,-,498.75,0.02,-,498.77
Income from services rendered to,463.93,72.23,#,#,536.16
Expenses for receiving services from,720.16,"2,774.86",-,-,"3,495.02"
Equity investments,-,"3,826.49",-,-,"3,826.49"
,-,"(3,826.49)",-,-,"(3,826.49)"
Other investments,-,"5,105.62",-,-,"5,105.62"
,-,"(5,105.62)",-,-,"(5,105.62)"
