Particulars,"March 31, 2022","March 31, 2021"
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,,
Present value of obligation as at April 1,857.58,725.87
Interest cost,56.41,45.94
Current service cost,109.39,100.50
Benefits paid,(56.13),(38.21)
Actuarial (gain) / loss on obligation:,,
Experience adjustment,(65.14),26.48
Assumption change,8.32,(3.00)
Present value of obligation as at March 31,910.43,857.58
Reconciliation of opening and closing balance of the fair value of the plan assets,,
Fair value of plan assets as at April 1,743.24,514.93
Expected return on plan assets,53.26,40.89
Contributions,131.14,104.45
Benefits paid,(56.13),(38.21)
Actuarial gain / (loss) on plan assets:,,
Experience adjustment,21.96,105.74
Assumption change,1.97,15.44
Fair value of plan assets as at March 31,895.44,743.24
Amount recognised in Balance Sheet,,
Fair value of plan assets as at March 31,895.44,743.24
Present value of obligation as at March 31,(910.43),(857.58)
Asset / (liability) as at March 31,(14.99),(114.34)
Expenses recognised in Profit and Loss Account,,
Interest cost,56.41,45.94
Current service cost,109.39,100.50
Expected return on plan assets,(53.26),(40.89)
Net actuarial (gain) / loss recognised in the year,(80.75),(97.70)
Net cost,31.79,7.85
Actual return on plan assets,77.19,162.07
Estimated contribution for the next year,148.57,131.14
