Particulars,"March 31, 2022","March 31, 2021"
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,,
Present value of obligation as at April 1,89.99,64.15
Interest cost,5.19,3.79
Current service cost,1.40,1.37
Past service cost,7.69,-
Benefits paid,(20.43),(11.63)
Actuarial (gain) / loss on obligation:,,
Experience adjustment,6.44,31.41
Assumption change,(2.26),0.90
Present value of obligation as at March 31,88.02,89.99
Reconciliation of opening and closing balance of the fair value of the plan assets,,
Fair value of plan assets as at April 1,0.33,9.51
Expected return on plan assets,0.04,0.32
Contributions,20.70,2.30
Benefits paid,(20.43),(11.63)
Actuarial gain / (loss) on plan assets:,,
Experience adjustment,0.39,(0.20)
Assumption change,(0.15),0.03
Fair value of plan assets as at March 31,0.88,0.33
Amount recognised in Balance Sheet,,
Fair value of plan assets as at March 31,0.88,0.33
Present value of obligation as at March 31,(88.02),(89.99)
Asset / (liability) as at March 31,(87.14),(89.66)
Expenses recognised in Profit and Loss Account,,
Interest cost,5.19,3.79
Current service cost,1.40,1.37
Past service cost,7.69,-
Expected return on plan assets,(0.04),(0.32)
Net actuarial (gain) / loss recognised in the year,3.95,32.48
Net cost,18.19,37.32
Actual return on plan assets,0.27,0.15
Estimated contribution for the next year,18.86,13.09
Assumptions,,
Discount rate,6.80% per annum,6.50% per annum
Expected return on plan assets,6.50% per annum,6.50% per annum
Salary escalation rate,7.00% per annum,7.00% per annum
