,"As at March 31, 2022","As at March 31, 2021"
I Claims against the bank not acknowledged as debts - taxation,"12,931,485","12,677,596"
II Claims against the bank not acknowledged as debts - others,"1,311,797","2,275,100"
III Liability for partly paid investments,-,-
IV Liability on account of outstanding forward exchange contracts,"6,551,871,752","4,964,726,675"
V Liability on account of outstanding derivative contracts,"5,897,615,819","3,577,046,284"
VI Guarantees given on behalf of constituents - in India,"833,910,325","751,195,338"
- outside India,"3,524,321","1,800,917"
"VII Acceptances, endorsements and other obligations","615,639,684","376,536,252"
VIII Other items for which the bank is contingently liable,"37,617,812","24,717,799"
Total,"13,954,422,995","9,710,975,961"
